# Frequency: 7.5e+11 Hz
# Wavelength: 0.000399723 m
# Wave Number k: 15718.8 rad/m
# Grid: 1000x1000
# GridSize: 2.5 m
# RayArea: 6.25e-06 m²
# ThetaSamples: 1
# PhiSamples: 90
# MaxBounces: 20
# ReflectionConst: 1
theta,phi,rcs_m2,rcs_dbsm
90,0,774.284,28.889
90,2.02247,558.896,27.4733
90,4.04494,458.699,26.6153
90,6.06742,702.385,28.4657
90,8.08989,608.229,27.8407
90,10.1124,1182.37,30.7275
90,12.1348,817.102,29.1228
90,14.1573,173.152,22.3843
90,16.1798,245.627,23.9028
90,18.2022,426.344,26.2976
90,20.2247,545.901,27.3711
90,22.2472,685.555,28.3604
90,24.2697,582.293,27.6514
90,26.2921,761.605,28.8173
90,28.3146,959.635,29.8211
90,30.3371,598.046,27.7673
90,32.3596,174.872,22.4272
90,34.382,782.586,28.9353
90,36.4045,632.617,28.0114
90,38.427,488.938,26.8925
90,40.4494,628.312,27.9818
90,42.4719,796.423,29.0114
90,44.4944,119.795,20.7844
90,46.5169,518.071,27.1439
90,48.5393,526.926,27.2175
90,50.5618,413.315,26.1628
90,52.5843,301.625,24.7947
90,54.6067,693.35,28.4095
90,56.6292,427.699,26.3114
90,58.6517,596.595,27.7568
90,60.6742,673.656,28.2844
90,62.6966,451.767,26.5491
90,64.7191,622.161,27.939
90,66.7416,651.432,28.1387
90,68.764,521.005,27.1684
90,70.7865,521.321,27.171
90,72.809,544.564,27.3605
90,74.8315,537.236,27.3016
90,76.8539,308.383,24.8909
90,78.8764,557.856,27.4652
90,80.8989,382.882,25.8306
90,82.9213,376.724,25.7602
90,84.9438,513.801,27.1079
90,86.9663,373.386,25.7216
90,88.9888,188.393,22.7507
90,91.0112,330.129,25.1868
90,93.0337,353.247,25.4808
90,95.0562,397.216,25.9903
90,97.0787,488.257,26.8865
90,99.1011,360.209,25.5655
90,101.124,717.881,28.5605
90,103.146,712.057,28.5251
90,105.169,578.292,27.6215
90,107.191,516.084,27.1272
90,109.213,539.822,27.3225
90,111.236,169.753,22.2982
90,113.258,553.818,27.4337
90,115.281,183.936,22.6467
90,117.303,407.183,26.0979
90,119.326,442.964,26.4637
90,121.348,220.49,23.4339
90,123.371,648.168,28.1169
90,125.393,709.939,28.5122
90,127.416,537.872,27.3068
90,129.438,624.977,27.9586
90,131.461,383.195,25.8342
90,133.483,456.961,26.5988
90,135.506,465.855,26.6825
90,137.528,452.062,26.552
90,139.551,730.222,28.6345
90,141.573,510.237,27.0777
90,143.596,649.138,28.1234
90,145.618,819.486,29.1354
90,147.64,799.089,29.026
90,149.663,424.556,26.2793
90,151.685,327.03,25.1459
90,153.708,679.056,28.3191
90,155.73,687.248,28.3711
90,157.753,462.673,26.6527
90,159.775,551.197,27.4131
90,161.798,811.016,29.0903
90,163.82,608.953,27.8458
90,165.843,645.465,28.0987
90,167.865,442.789,26.462
90,169.888,1267.81,31.0305
90,171.91,624.158,27.9529
90,173.933,731.367,28.6414
90,175.955,364.409,25.6159
90,177.978,618.17,27.9111
90,180,703.99,28.4757
