# Frequency: 1e+10
# Grid: 20000x20000
# GridSize: 100
# ThetaSamples: 20
# PhiSamples: 30
theta,phi,rcs_m2,rcs_dbsm
0,0,46457.2,46.6705
0,12.4138,46457,46.6705
0,24.8276,46457.2,46.6705
0,37.2414,46456.9,46.6705
0,49.6552,46457.1,46.6705
0,62.069,46457.3,46.6705
0,74.4828,46457.3,46.6705
0,86.8966,46457,46.6705
0,99.3103,46457.2,46.6705
0,111.724,46457.4,46.6705
0,124.138,46457.3,46.6705
0,136.552,46457.2,46.6705
0,148.966,46457.5,46.6706
0,161.379,46457.3,46.6705
0,173.793,46456.8,46.6705
0,186.207,46457.2,46.6705
0,198.621,46457.1,46.6705
0,211.034,46457.6,46.6706
0,223.448,46457.1,46.6705
0,235.862,46457.5,46.6706
0,248.276,46457.4,46.6705
0,260.69,46457.2,46.6705
0,273.103,46457.3,46.6705
0,285.517,46457.4,46.6706
0,297.931,46457,46.6705
0,310.345,46457.3,46.6705
0,322.759,46457.2,46.6705
0,335.172,46457.7,46.6706
0,347.586,46457.2,46.6705
0,360,46457.2,46.6705
9.47368,0,2911.84,34.6417
9.47368,12.4138,1385.37,31.4157
9.47368,24.8276,257.998,24.1162
9.47368,37.2414,73.5897,18.6682
9.47368,49.6552,1136.28,30.5549
9.47368,62.069,138.503,21.4146
9.47368,74.4828,1269.79,31.0373
9.47368,86.8966,599.427,27.7774
9.47368,99.3103,952.29,29.7877
9.47368,111.724,4364.22,36.3991
9.47368,124.138,65363.1,48.1533
9.47368,136.552,58.8884,17.7003
9.47368,148.966,537.283,27.302
9.47368,161.379,755.942,28.7849
9.47368,173.793,142.994,21.5532
9.47368,186.207,91.989,19.6374
9.47368,198.621,614.732,27.8869
9.47368,211.034,622.396,27.9407
9.47368,223.448,94.8126,19.7687
9.47368,235.862,61421.9,47.8832
9.47368,248.276,4322.64,36.3575
9.47368,260.69,1195.43,30.7752
9.47368,273.103,780.297,28.9226
9.47368,285.517,1361.37,31.3398
9.47368,297.931,183.182,22.6288
9.47368,310.345,1153.67,30.6208
9.47368,322.759,10.5644,10.2385
9.47368,335.172,312.129,24.9433
9.47368,347.586,1263.43,31.0155
9.47368,360,2879.24,34.5928
18.9474,0,96.01,19.8232
18.9474,12.4138,294.615,24.6926
18.9474,24.8276,1368.02,31.3609
18.9474,37.2414,21.6065,13.3458
18.9474,49.6552,155.341,21.9129
18.9474,62.069,426.412,26.2983
18.9474,74.4828,29.7611,14.7365
18.9474,86.8966,69.5681,18.4241
18.9474,99.3103,221.076,23.4454
18.9474,111.724,216.757,23.3597
18.9474,124.138,15.0492,11.7751
18.9474,136.552,44.1451,16.4488
18.9474,148.966,419.786,26.2303
18.9474,161.379,20.184,13.0501
18.9474,173.793,47.9554,16.8084
18.9474,186.207,31.9959,15.051
18.9474,198.621,30.051,14.7786
18.9474,211.034,292.726,24.6646
18.9474,223.448,103.039,20.13
18.9474,235.862,22.667,13.5539
18.9474,248.276,124.462,20.9504
18.9474,260.69,348.191,25.4182
18.9474,273.103,109.634,20.3994
18.9474,285.517,46.3759,16.6629
18.9474,297.931,342.57,25.3475
18.9474,310.345,149.27,21.7397
18.9474,322.759,20.0314,13.0171
18.9474,335.172,1134.15,30.5467
18.9474,347.586,314.343,24.974
18.9474,360,127.368,21.0506
28.4211,0,11.8554,10.7392
28.4211,12.4138,38.876,15.8968
28.4211,24.8276,7.6773,8.85209
28.4211,37.2414,119.463,20.7723
28.4211,49.6552,54.5603,17.3688
28.4211,62.069,122.636,20.8862
28.4211,74.4828,349.369,25.4328
28.4211,86.8966,86.5881,19.3746
28.4211,99.3103,21.6876,13.3621
28.4211,111.724,1.76091,2.45736
28.4211,124.138,46.6211,16.6858
28.4211,136.552,3.4687,5.40166
28.4211,148.966,1187.33,30.7457
28.4211,161.379,108.423,20.3512
28.4211,173.793,17.3811,12.4008
28.4211,186.207,29.9221,14.7599
28.4211,198.621,121.6,20.8493
28.4211,211.034,1430.8,31.5558
28.4211,223.448,4.28034,6.31478
28.4211,235.862,56.8239,17.5453
28.4211,248.276,22.8731,13.5933
28.4211,260.69,42.6278,16.2969
28.4211,273.103,83.382,19.2107
28.4211,285.517,348.118,25.4173
28.4211,297.931,142.468,21.5372
28.4211,310.345,29.6137,14.7149
28.4211,322.759,97.2773,19.8801
28.4211,335.172,1.03563,0.152038
28.4211,347.586,33.5406,15.2557
28.4211,360,6.56001,8.16904
37.8947,0,105.535,20.234
37.8947,12.4138,39.3032,15.9443
37.8947,24.8276,58.3668,17.6617
37.8947,37.2414,36.8975,15.67
37.8947,49.6552,191.091,22.8124
37.8947,62.069,33.1267,15.2018
37.8947,74.4828,163.152,22.1259
37.8947,86.8966,83.5664,19.2203
37.8947,99.3103,20.8442,13.1898
37.8947,111.724,17.6196,12.46
37.8947,124.138,2.44477,3.88238
37.8947,136.552,0.620068,-2.0756
37.8947,148.966,60.5733,17.8228
37.8947,161.379,38.6594,15.8726
37.8947,173.793,0.0292457,-15.3394
37.8947,186.207,0.729491,-1.3698
37.8947,198.621,30.2333,14.8048
