# Frequency: 1e+10
# Grid: 20000x20000
# GridSize: 100
# ThetaSamples: 10
# PhiSamples: 10
theta,phi,rcs_m2,rcs_dbsm
0,0,44433.5,46.4771
0,20,44433.3,46.4771
0,40,44433.4,46.4771
0,60,44433.3,46.4771
0,80,44433.4,46.4771
0,100,44433.7,46.4771
0,120,44433.4,46.4771
0,140,44433.4,46.4771
0,160,44433.4,46.4771
0,180,44433.7,46.4771
40,0,197.545,22.9567
40,20,475.342,26.7701
40,40,552.696,27.4249
40,60,162.952,22.1206
40,80,9.92979,9.9694
40,100,157.548,21.9741
40,120,19.6869,12.9418
40,140,19.3409,12.8648
40,160,0.0870268,-10.6035
40,180,0.220324,-6.56939
80,0,16.1089,12.0707
80,20,108.77,20.3651
80,40,198.994,22.9884
80,60,263.371,24.2057
80,80,525.92,27.2092
80,100,334.562,25.2448
80,120,3.67992,5.65838
80,140,1.47076,1.67543
80,160,14.259,11.5409
80,180,4.29421,6.32883
120,0,74.8389,18.7413
120,20,17.4531,12.4187
120,40,80.5832,19.0624
120,60,65.1008,18.1359
120,80,484.88,26.8563
120,100,5836.56,37.6616
120,120,20.6277,13.1445
120,140,19.0241,12.793
120,160,12.5916,11.0008
120,180,15.0446,11.7738
160,0,67.8061,18.3127
160,20,235.71,23.7238
160,40,7637.85,38.8297
160,60,470.028,26.7212
160,80,926.436,29.6682
160,100,783.19,28.9387
160,120,32.4976,15.1185
160,140,40.1478,16.0366
160,160,103.163,20.1352
160,180,220.858,23.4411
200,0,239.209,23.7878
200,20,67.0607,18.2647
200,40,52.9666,17.24
200,60,31.9023,15.0382
200,80,602.001,27.796
200,100,1000.22,30.001
200,120,477.932,26.7937
200,140,5273.35,37.2209
200,160,237.12,23.7497
200,180,29.0453,14.6308
240,0,17.6563,12.469
240,20,5.56329,7.45332
240,40,8.50062,9.29451
240,60,25.3324,14.0368
240,80,5382.96,37.3102
240,100,457.741,26.6062
240,120,67.8359,18.3146
240,140,75.9524,18.8054
240,160,10.6025,10.2541
240,180,88.9408,19.491
280,0,2.65828,4.24602
280,20,21.4224,13.3087
280,40,2.44304,3.8793
280,60,6.72367,8.27606
280,80,214.679,23.3179
280,100,693.633,28.4113
280,120,353.773,25.4872
280,140,196.353,22.9304
280,160,99.1659,19.9636
280,180,27.0004,14.3137
320,0,3.90246,5.91338
320,20,0.626595,-2.03013
320,40,16.2241,12.1016
320,60,14.1332,11.5024
320,80,128.536,21.0903
320,100,3.90593,5.91724
320,120,145.222,21.6203
320,140,533.691,27.2729
320,160,521.776,27.1748
320,180,206.477,23.1487
360,0,44336.8,46.4676
360,20,41924.9,46.2247
360,40,43690.3,46.4039
360,60,43589.1,46.3938
360,80,43368.2,46.3717
360,100,43247.6,46.3596
360,120,43181.5,46.353
360,140,42864.8,46.321
360,160,41822.1,46.2141
360,180,43803,46.415
