# Frequency: 7e+09
# Grid: 18000x18000
# GridSize: 90
# ThetaSamples: 150
# PhiSamples: 300
theta,phi,rcs_m2,rcs_dbsm
0,0,62407.6,47.9524
0,1.20067,62365.2,47.9494
0,2.40134,62427,47.9537
0,3.60201,62387.2,47.951
0,4.80268,62374.5,47.9501
0,6.00334,62351.7,47.9485
0,7.20401,62415.2,47.9529
0,8.40468,62402.2,47.952
0,9.60535,62366.7,47.9495
0,10.806,62373.1,47.95
0,12.0067,62372.1,47.9499
0,13.2074,62413.9,47.9528
0,14.408,62435.4,47.9543
0,15.6087,62394.7,47.9515
0,16.8094,62406.2,47.9523
0,18.01,62423,47.9534
0,19.2107,62406.5,47.9523
0,20.4114,62382.8,47.9506
0,21.612,62354.7,47.9487
0,22.8127,62395.2,47.9515
0,24.0134,62427.8,47.9538
0,25.214,62387.9,47.951
0,26.4147,62381.2,47.9505
0,27.6154,62371,47.9498
0,28.8161,62357.5,47.9489
0,30.0167,62373.7,47.95
0,31.2174,62386.1,47.9509
0,32.4181,62391.8,47.9513
0,33.6187,62419.5,47.9532
0,34.8194,62415.7,47.9529
0,36.0201,62427.2,47.9537
0,37.2207,62357.6,47.9489
0,38.4214,62369.9,47.9498
0,39.6221,62362.9,47.9493
0,40.8227,62321.4,47.9464
0,42.0234,62398.7,47.9518
0,43.2241,62365.4,47.9494
0,44.4247,62366.5,47.9495
0,45.6254,62394.9,47.9515
0,46.8261,62404.5,47.9522
0,48.0268,62383,47.9507
0,49.2274,62352.2,47.9485
0,50.4281,62372.3,47.9499
0,51.6288,62378.1,47.9503
0,52.8294,62400.3,47.9519
0,54.0301,62380.8,47.9505
0,55.2308,62382.2,47.9506
0,56.4314,62384.2,47.9507
0,57.6321,62382.2,47.9506
0,58.8328,62427.6,47.9538
0,60.0334,62413.8,47.9528
0,61.2341,62392.9,47.9514
0,62.4348,62395.9,47.9516
0,63.6355,62364.8,47.9494
0,64.8361,62393,47.9514
0,66.0368,62373.5,47.95
0,67.2375,62398.4,47.9517
0,68.4381,62399,47.9518
0,69.6388,62384.4,47.9508
0,70.8395,62371.8,47.9499
0,72.0401,62364.1,47.9493
0,73.2408,62357.6,47.9489
0,74.4415,62425.7,47.9536
0,75.6421,62390.7,47.9512
0,76.8428,62392.2,47.9513
0,78.0435,62392.3,47.9513
0,79.2441,62392.5,47.9513
0,80.4448,62344.4,47.948
0,81.6455,62351.7,47.9485
0,82.8462,62391.7,47.9513
0,84.0468,62389.6,47.9511
0,85.2475,62378.3,47.9503
0,86.4482,62371.1,47.9498
0,87.6488,62398.7,47.9518
0,88.8495,62383.1,47.9507
0,90.0502,62409,47.9525
0,91.2508,62372.1,47.9499
0,92.4515,62373.4,47.95
0,93.6522,62381.1,47.9505
0,94.8528,62362.9,47.9493
0,96.0535,62402.8,47.952
0,97.2542,62370.8,47.9498
0,98.4548,62369.2,47.9497
0,99.6555,62365.9,47.9495
0,100.856,62381.9,47.9506
0,102.057,62401.4,47.9519
0,103.258,62355.3,47.9487
0,104.458,62418.9,47.9532
0,105.659,62397.7,47.9517
0,106.86,62417.5,47.9531
0,108.06,62395.2,47.9515
0,109.261,62398.2,47.9517
